2017-12-09 19:40:23 startup archives install
2017-12-09 19:40:25 upgrade base-passwd:i386 3.5.43 3.5.43
2017-12-09 19:40:25 status half-configured base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 status half-installed base-passwd:i386 3.5.43
2017-12-09 19:40:25 status half-installed base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 status unpacked base-passwd:i386 3.5.43
2017-12-09 19:40:25 install bash:i386 <none> 4.4-5
2017-12-09 19:40:25 status half-installed bash:i386 4.4-5
2017-12-09 19:40:26 status unpacked bash:i386 4.4-5
2017-12-09 19:40:26 status unpacked bash:i386 4.4-5
2017-12-09 19:40:26 install libbz2-1.0:i386 <none> 1.0.6-8.1
2017-12-09 19:40:26 status half-installed libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 status unpacked libbz2-1.0:i386 1.0.6-8.1
2017-12-09 19:40:26 install libdebconfclient0:i386 <none> 0.227
2017-12-09 19:40:26 status half-installed libdebconfclient0:i386 0.227
2017-12-09 19:40:26 status unpacked libdebconfclient0:i386 0.227
2017-12-09 19:40:26 status unpacked libdebconfclient0:i386 0.227
2017-12-09 19:40:26 install coreutils:i386 <none> 8.26-3
2017-12-09 19:40:26 status half-installed coreutils:i386 8.26-3
2017-12-09 19:40:26 status unpacked coreutils:i386 8.26-3
2017-12-09 19:40:26 status unpacked coreutils:i386 8.26-3
2017-12-09 19:40:26 install dash:i386 <none> 0.5.8-2.4
2017-12-09 19:40:26 status half-installed dash:i386 0.5.8-2.4
2017-12-09 19:40:26 status unpacked dash:i386 0.5.8-2.4
2017-12-09 19:40:26 status unpacked dash:i386 0.5.8-2.4
2017-12-09 19:40:26 install libdb5.3:i386 <none> 5.3.28-12+deb9u1
2017-12-09 19:40:26 status half-installed libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:26 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:26 status unpacked libdb5.3:i386 5.3.28-12+deb9u1
2017-12-09 19:40:27 install debconf:all <none> 1.5.61
2017-12-09 19:40:27 status half-installed debconf:all 1.5.61
2017-12-09 19:40:27 status unpacked debconf:all 1.5.61
2017-12-09 19:40:27 status unpacked debconf:all 1.5.61
2017-12-09 19:40:27 install debianutils:i386 <none> 4.8.1.1
2017-12-09 19:40:27 status half-installed debianutils:i386 4.8.1.1
2017-12-09 19:40:27 status unpacked debianutils:i386 4.8.1.1
2017-12-09 19:40:27 status unpacked debianutils:i386 4.8.1.1
2017-12-09 19:40:27 install diffutils:i386 <none> 1:3.5-3
2017-12-09 19:40:27 status half-installed diffutils:i386 1:3.5-3
2017-12-09 19:40:27 status unpacked diffutils:i386 1:3.5-3
2017-12-09 19:40:27 status unpacked diffutils:i386 1:3.5-3
2017-12-09 19:40:27 upgrade dpkg:i386 1.18.24 1.18.24
2017-12-09 19:40:27 status half-configured dpkg:i386 1.18.24
2017-12-09 19:40:27 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:27 status half-installed dpkg:i386 1.18.24
2017-12-09 19:40:27 status half-installed dpkg:i386 1.18.24
2017-12-09 19:40:27 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:27 status unpacked dpkg:i386 1.18.24
2017-12-09 19:40:27 install e2fslibs:i386 <none> 1.43.4-2
2017-12-09 19:40:27 status half-installed e2fslibs:i386 1.43.4-2
2017-12-09 19:40:27 status unpacked e2fslibs:i386 1.43.4-2
2017-12-09 19:40:27 status unpacked e2fslibs:i386 1.43.4-2
2017-12-09 19:40:27 install e2fsprogs:i386 <none> 1.43.4-2
2017-12-09 19:40:27 status half-installed e2fsprogs:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked e2fsprogs:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked e2fsprogs:i386 1.43.4-2
2017-12-09 19:40:28 install libcomerr2:i386 <none> 1.43.4-2
2017-12-09 19:40:28 status half-installed libcomerr2:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked libcomerr2:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked libcomerr2:i386 1.43.4-2
2017-12-09 19:40:28 install libss2:i386 <none> 1.43.4-2
2017-12-09 19:40:28 status half-installed libss2:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked libss2:i386 1.43.4-2
2017-12-09 19:40:28 status unpacked libss2:i386 1.43.4-2
2017-12-09 19:40:28 install findutils:i386 <none> 4.6.0+git+20161106-2
2017-12-09 19:40:28 status half-installed findutils:i386 4.6.0+git+20161106-2
2017-12-09 19:40:28 status unpacked findutils:i386 4.6.0+git+20161106-2
2017-12-09 19:40:28 status unpacked findutils:i386 4.6.0+git+20161106-2
2017-12-09 19:40:28 install gcc-6-base:i386 <none> 6.3.0-18
2017-12-09 19:40:28 status half-installed gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:28 status unpacked gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:28 status unpacked gcc-6-base:i386 6.3.0-18
2017-12-09 19:40:28 install libgcc1:i386 <none> 1:6.3.0-18
2017-12-09 19:40:28 status half-installed libgcc1:i386 1:6.3.0-18
2017-12-09 19:40:28 status unpacked libgcc1:i386 1:6.3.0-18
2017-12-09 19:40:28 status unpacked libgcc1:i386 1:6.3.0-18
2017-12-09 19:40:28 install libc-bin:i386 <none> 2.24-11+deb9u1
2017-12-09 19:40:28 status half-installed libc-bin:i386 2.24-11+deb9u1
2017-12-09 19:40:28 status unpacked libc-bin:i386 2.24-11+deb9u1
2017-12-09 19:40:28 status unpacked libc-bin:i386 2.24-11+deb9u1
2017-12-09 19:40:28 upgrade libc6:i386 2.24-11+deb9u1 2.24-11+deb9u1
2017-12-09 19:40:28 status half-configured libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status half-installed libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status half-installed libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status unpacked libc6:i386 2.24-11+deb9u1
2017-12-09 19:40:29 install multiarch-support:i386 <none> 2.24-11+deb9u1
2017-12-09 19:40:29 status half-installed multiarch-support:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status unpacked multiarch-support:i386 2.24-11+deb9u1
2017-12-09 19:40:29 status unpacked multiarch-support:i386 2.24-11+deb9u1
2017-12-09 19:40:29 install grep:i386 <none> 2.27-2
2017-12-09 19:40:29 status half-installed grep:i386 2.27-2
2017-12-09 19:40:29 status unpacked grep:i386 2.27-2
2017-12-09 19:40:29 status unpacked grep:i386 2.27-2
2017-12-09 19:40:29 install gzip:i386 <none> 1.6-5+b1
2017-12-09 19:40:29 status half-installed gzip:i386 1.6-5+b1
2017-12-09 19:40:29 status unpacked gzip:i386 1.6-5+b1
2017-12-09 19:40:29 status unpacked gzip:i386 1.6-5+b1
2017-12-09 19:40:29 install hostname:i386 <none> 3.18+b1
2017-12-09 19:40:29 status half-installed hostname:i386 3.18+b1
2017-12-09 19:40:29 status unpacked hostname:i386 3.18+b1
2017-12-09 19:40:29 status unpacked hostname:i386 3.18+b1
2017-12-09 19:40:29 install init-system-helpers:all <none> 1.48
2017-12-09 19:40:29 status half-installed init-system-helpers:all 1.48
2017-12-09 19:40:29 status unpacked init-system-helpers:all 1.48
2017-12-09 19:40:29 status unpacked init-system-helpers:all 1.48
2017-12-09 19:40:29 install libcap-ng0:i386 <none> 0.7.7-3+b1
2017-12-09 19:40:29 status half-installed libcap-ng0:i386 0.7.7-3+b1
2017-12-09 19:40:29 status unpacked libcap-ng0:i386 0.7.7-3+b1
2017-12-09 19:40:29 status unpacked libcap-ng0:i386 0.7.7-3+b1
2017-12-09 19:40:30 install libgcrypt20:i386 <none> 1.7.6-2+deb9u2
2017-12-09 19:40:30 status half-installed libgcrypt20:i386 1.7.6-2+deb9u2
2017-12-09 19:40:30 status unpacked libgcrypt20:i386 1.7.6-2+deb9u2
